(,"0,5","0,5","0,62346875","0,46103125","0,579375","0,5",)
(,"0,39146875","0,5","0,5","0,62346875","0,46103125","0,579375",)
(,"0,4166875","0,39146875","0,5","0,5","0,62346875","0,46103125",)
(,"0,6233125","0,4166875","0,39146875","0,5","0,5","0,62346875",)
(,"0,48753125","0,6233125","0,4166875","0,39146875","0,5","0,5",)
(,"0,5","0,48753125","0,6233125","0,4166875","0,39146875","0,5",)
(,"0,5","0,5","0,48753125","0,6233125","0,4166875","0,39146875",)
(,"0,5","0,5","0,5","0,48753125","0,6233125","0,4166875",)
(,"0,69959375","0,5","0,5","0,5","0,48753125","0,6233125",)
(,"0,7296875","0,69959375","0,5","0,5","0,5","0,48753125",)
(,"0,5","0,7296875","0,69959375","0,5","0,5","0,5",)
(,"0,54596875","0,5","0,7296875","0,69959375","0,5","0,5",)
(,"0,578","0,54596875","0,5","0,7296875","0,69959375","0,5",)
(,"0,5","0,578","0,54596875","0,5","0,7296875","0,69959375",)
(,"0,5","0,5","0,578","0,54596875","0,5","0,7296875",)
(,"0,63396875","0,5","0,5","0,578","0,54596875","0,5",)
(,"0,60528125","0,63396875","0,5","0,5","0,578","0,54596875",)
(,"0,4824375","0,60528125","0,63396875","0,5","0,5","0,578",)
(,"0,2731875","0,4824375","0,60528125","0,63396875","0,5","0,5",)
(,"0,5","0,2731875","0,4824375","0,60528125","0,63396875","0,5",)
(,"0,5","0,5","0,2731875","0,4824375","0,60528125","0,63396875",)
(,"0,5","0,5","0,5","0,2731875","0,4824375","0,60528125",)
(,"0,42659375","0,5","0,5","0,5","0,2731875","0,4824375",)
(,"0,48303125","0,42659375","0,5","0,5","0,5","0,2731875",)
(,"0,424625","0,48303125","0,42659375","0,5","0,5","0,5",)
(,"0,6020625","0,424625","0,48303125","0,42659375","0,5","0,5",)
(,"0,51915625","0,6020625","0,424625","0,48303125","0,42659375","0,5",)
(,"0,5","0,51915625","0,6020625","0,424625","0,48303125","0,42659375",)
(,"0,5","0,5","0,51915625","0,6020625","0,424625","0,48303125",)
(,"0,4585","0,5","0,5","0,51915625","0,6020625","0,424625",)
(,"0,370875","0,4585","0,5","0,5","0,51915625","0,6020625",)
(,"0,61715625","0,370875","0,4585","0,5","0,5","0,51915625",)
(,"0,550625","0,61715625","0,370875","0,4585","0,5","0,5",)
(,"0,6034375","0,550625","0,61715625","0,370875","0,4585","0,5",)
(,"0,5","0,6034375","0,550625","0,61715625","0,370875","0,4585",)
(,"0,5","0,5","0,6034375","0,550625","0,61715625","0,370875",)
(,"0,4094375","0,5","0,5","0,6034375","0,550625","0,61715625",)
(,"0,4380625","0,4094375","0,5","0,5","0,6034375","0,550625",)
(,"0,55621875","0,4380625","0,4094375","0,5","0,5","0,6034375",)
(,"0,67175","0,55621875","0,4380625","0,4094375","0,5","0,5",)
(,"0,5","0,67175","0,55621875","0,4380625","0,4094375","0,5",)
